Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Percentage of children under 5 years of age with a birth certificate,64.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,64.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,81.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,79.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,81.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,76.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,90.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,88.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,91.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,74.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,87.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,93,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,79.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,66.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,71,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,55.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,33.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,72.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,71.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,76.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,85.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,75.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,66.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,46.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,70.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,59.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,71.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,64.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,41.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,52.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,51.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,38.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,72.6,Percent ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate,72.7,Percent ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),14.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),18.2,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.4,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),14.4,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),17,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),19.3,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.8,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.8,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.5,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13.6,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),17.2,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),19.3,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),10.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),8.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),18.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),30,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),17,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),17.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),7.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),15.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),12.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),23.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),15.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),16.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),10.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),11.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),9.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),10.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),14,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),23.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),13.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),14.8,Percent ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (not seen),14.5,Percent ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58,Percent ,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),61.7,Percent ,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),54.4,Percent ,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),50.3,Percent ,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),54.4,Percent ,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),59,Percent ,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),63.5,Percent ,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),67.4,Percent ,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),39.8,Percent ,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),48.1,Percent ,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),55.4,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58.6,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),63.8,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),70.4,Percent ,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Aceh,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),43.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),52.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),56.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),68.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jambi,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),61.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),65.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),64.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Lampung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),79,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),77.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),61.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),73.4,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),75.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),66.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),49,Percent ,2015,,SUSENAS,,All,All,All,All,All,Banten,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),54.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Bali,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),44.3,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),26.2,Percent ,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),56.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),55.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),63.8,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),62.1,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),50.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),33.5,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),54,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),49,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),59.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),55,Percent ,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),30.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),38.6,Percent ,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),28.7,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),24.9,Percent ,2015,,SUSENAS,,All,All,All,All,All,Papua,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),57.8,Percent ,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of children under 5 years of age with a birth certificate (seen),58.2,Percent ,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,32.3,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,All Indonesia,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,23.7,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Aceh,,,16,,,,,,,,,,,,
