Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational Attainment of Household Head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
Number of health facilities affected by disaster,0,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.01,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.01,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.01,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.02,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.03,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.04,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.05,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.06,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.06,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.07,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.07,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.09,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,0.1,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,0.1,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,0.1,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,< 18 yrs,1,,,,,,,,,,,,
"Number of new HIV infections per 1,000 uninfected people",0.1,2015,,Documentation of Preliminary Modeling Update Work Undertaken to Provide Input into the Investment Case Analysis and the National HIV Strategic and Action Plan 2015-2019,,All,All,All,All,All,All Indonesia,,0-14 yrs,3,,,,,,,,,,,,
Prevalence of tobacco smokers (children 5-17 yrs),0.1,2015,,SUSENAS ,,Female,All,All,All,All,All Indonesia,,5-17 yrs,3,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.1,2015,,SUSENAS,,Female,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.1,2015,,SUSENAS,,Female,All,All,All,All,Sumatera Utara,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.1,2015,,SUSENAS,,Female,All,All,All,All,Riau,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.1,2015,,SUSENAS,,Female,All,All,All,All,Jawa Tengah,,20-24 yrs,5,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.1,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.1,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.1,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.1,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0.1,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.11,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.11,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.11,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.11,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.15,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.16,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.16,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.19,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,0.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$1.9 (PPP) per day,0.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$1.9 (PPP) per day,0.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Prevalence of tobacco smokers (children 5-17 yrs),0.2,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,5-17 yrs,3,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.2,2015,,SUSENAS,,Female,All,All,All,All,DKI Jakarta,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.2,2015,,SUSENAS,,Female,All,All,All,All,Banten,,20-24 yrs,5,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.2,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
Proportion of education facilities affected by disaster,0.2,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0.2,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
Proportion of health facilities affected by disaster ,0.2,2016,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters per 100,000 people, annual average for 2005-2015",0.24,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Bangka Belitung,,,13,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,0.3,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,0.3,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$1.9 (PPP) per day,0.3,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
"Number of new HIV infections per 1,000 uninfected people",0.3,2015,,Documentation of Preliminary Modeling Update Work Undertaken to Provide Input into the Investment Case Analysis and the National HIV Strategic and Action Plan 2015-2019,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.3,2015,,SUSENAS,,Female,Urban,All,All,All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.3,2015,,SUSENAS,,Female,All,All,Q5 (wealthiest),All,All Indonesia,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.3,2015,,SUSENAS,,Female,All,All,All,All,Aceh,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.3,2015,,SUSENAS,,Female,All,All,All,All,Sumatera Barat,,20-24 yrs,5,,,,,,,,,,,,
Proportion of women aged 20-24 who were married or in a union before age 15,0.3,2015,,SUSENAS,,Female,All,All,All,All,Bali,,20-24 yrs,5,,,,,,,,,,,,
"Number of deaths due to disasters per 100,000 people, annual average for 2005-2015",0.3,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
