Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Health insurance coverage,45.20,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,53.90,2015,,SUSENAS ,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,71.20,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,84.30,2015,,SUSENAS ,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
Health insurance coverage,41.70,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
Health insurance coverage,49.40,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,48.50,2015,,SUSENAS ,,All,All,All,All,All,Riau,,All,3,,,,,,,,,,,,
Health insurance coverage,34.30,2015,,SUSENAS ,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
Health insurance coverage,78.40,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
Health insurance coverage,46.00,2015,,SUSENAS ,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
Health insurance coverage,41.10,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
Health insurance coverage,48.30,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
Health insurance coverage,63.70,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
Health insurance coverage,61.70,2015,,SUSENAS ,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
Health insurance coverage,45.50,2015,,SUSENAS ,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,49.70,2015,,SUSENAS ,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
Health insurance coverage,72.90,2015,,SUSENAS ,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
Health insurance coverage,39.40,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
Health insurance coverage,45.00,2015,,SUSENAS ,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
Health insurance coverage,86.40,2015,,SUSENAS ,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
Health insurance coverage,46.20,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,59.60,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
Health insurance coverage,30.90,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,39.50,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
Health insurance coverage,52.80,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
Health insurance coverage,71.70,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
Health insurance coverage,56.60,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
Health insurance coverage,50.30,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
Health insurance coverage,52.40,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
Health insurance coverage,73.70,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
Health insurance coverage,55.90,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
Health insurance coverage,67.60,2015,,SUSENAS ,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
Health insurance coverage,56.90,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,48.20,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
Health insurance coverage,56.70,2015,,SUSENAS ,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
Health insurance coverage,65.90,2015,,SUSENAS ,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
Health insurance coverage,62.50,2015,,SUSENAS ,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
Health insurance coverage,50.70,2015,,SUSENAS ,,Female,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage,50.40,2015,,SUSENAS ,,Male,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Health insurance coverage (adults),52.20,2015,,SUSENAS ,,All,All,All,All,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),54.80,2015,,SUSENAS ,,All,Urban,All,All,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),49.40,2015,,SUSENAS ,,All,Rural,All,All,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),53.10,2015,,SUSENAS ,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),49.00,2015,,SUSENAS ,,All,All,All,Q2,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.80,2015,,SUSENAS ,,All,All,All,Q3,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),49.20,2015,,SUSENAS ,,All,All,All,Q4,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),60.70,2015,,SUSENAS ,,All,All,All,Q5 (wealthiest),All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),49.80,2015,,SUSENAS ,,All,All,All,All,No school,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),50.60,2015,,SUSENAS ,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.30,2015,,SUSENAS ,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.00,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),56.20,2015,,SUSENAS ,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),73.40,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),86.80,2015,,SUSENAS ,,All,All,All,All,All,Aceh,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),43.30,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),51.30,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),50.20,2015,,SUSENAS ,,All,All,All,All,All,Riau,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),35.60,2015,,SUSENAS ,,All,All,All,All,All,Jambi,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),79.00,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.90,2015,,SUSENAS ,,All,All,All,All,All,Bengkulu,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),42.60,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),49.60,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),64.70,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),62.50,2015,,SUSENAS ,,All,All,All,All,All,DKI Jakarta,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.80,2015,,SUSENAS ,,All,All,All,All,All,Jawa Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),51.50,2015,,SUSENAS ,,All,All,All,All,All,Jawa Tengah,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),74.50,2015,,SUSENAS ,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),40.70,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),47.20,2015,,SUSENAS ,,All,All,All,All,All,Banten,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),86.80,2015,,SUSENAS ,,All,All,All,All,All,Bali,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),48.40,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),62.60,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),32.80,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),41.70,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),53.70,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),72.90,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),59.00,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),51.80,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),53.70,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),75.30,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),58.60,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),69.80,2015,,SUSENAS ,,All,All,All,All,All,Gorontalo,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),59.30,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),51.60,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),58.40,2015,,SUSENAS ,,All,All,All,All,All,Maluku Utara,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),70.30,2015,,SUSENAS ,,All,All,All,All,All,Papua Barat,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),64.00,2015,,SUSENAS ,,All,All,All,All,All,Papua,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),52.50,2015,,SUSENAS ,,Female,All,All,All,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (adults),51.80,2015,,SUSENAS ,,Male,All,All,All,All,All Indonesia,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.40,2015,,SUSENAS ,,All,All,All,All,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),49.80,2015,,SUSENAS ,,All,Urban,All,All,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),45.20,2015,,SUSENAS ,,All,Rural,All,All,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.30,2015,,SUSENAS ,,All,All,All,Q1 (poorest),All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),44.20,2015,,SUSENAS ,,All,All,All,Q2,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),43.50,2015,,SUSENAS ,,All,All,All,Q3,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),46.30,2015,,SUSENAS ,,All,All,All,Q4,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),58.40,2015,,SUSENAS ,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),43.30,2015,,SUSENAS ,,All,All,All,All,No school,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),45.80,2015,,SUSENAS ,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),44.10,2015,,SUSENAS ,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),42.00,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),50.00,2015,,SUSENAS ,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),67.20,2015,,SUSENAS ,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),80.20,2015,,SUSENAS ,,All,All,All,All,All,Aceh,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),39.00,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),46.00,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),45.70,2015,,SUSENAS ,,All,All,All,All,All,Riau,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),31.60,2015,,SUSENAS ,,All,All,All,All,All,Jambi,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),77.30,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Selatan,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),42.90,2015,,SUSENAS ,,All,All,All,All,All,Bengkulu,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),38.00,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),45.70,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Bangka Belitung,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),61.90,2015,,SUSENAS ,,All,All,All,All,All,Kepulauan Riau,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),59.80,2015,,SUSENAS ,,All,All,All,All,All,DKI Jakarta,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),41.30,2015,,SUSENAS ,,All,All,All,All,All,Jawa Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),45.60,2015,,SUSENAS ,,All,All,All,All,All,Jawa Tengah,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),68.70,2015,,SUSENAS ,,All,All,All,All,All,DI Yogyakarta,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),36.10,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),41.40,2015,,SUSENAS ,,All,All,All,All,All,Banten,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),85.50,2015,,SUSENAS ,,All,All,All,All,All,Bali,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),42.50,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),55.80,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),27.80,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),35.50,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),51.40,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Selatan,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),69.60,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),53.00,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.30,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),50.20,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tengah,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),71.00,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Selatan,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),52.00,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),63.40,2015,,SUSENAS ,,All,All,All,All,All,Gorontalo,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),53.00,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),43.10,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,0-17 yrs,3,,,,,,,,,,,,
