Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Proportion of children living below the national poverty line,11.3,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,18.2,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,11.8,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,16.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,22.3,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,15.9,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,24.1,2015,,SUSENAS,,All,All,All,All,All,Maluku,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,8.5,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,31.4,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below the national poverty line,35.3,2015,,SUSENAS,,All,All,All,All,All,Papua,,< 18 yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,10,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,9.5,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,10.5,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,7.3,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,12.8,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,52.5,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,2,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,21.9,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,15.3,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,12.2,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,8.5,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,4.1,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,0.7,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,14.8,2015,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,8.1,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5.9,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,6.7,2015,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,7.7,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,12.6,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,16.2,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,12.9,2015,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,4.8,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5.4,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,3.2,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,8.4,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,13,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,13.9,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,11.9,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,4.9,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,4.2,2015,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,15.2,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,19.3,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,6.9,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5.1,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,4.3,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5.6,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,7.4,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,12.7,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,8.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,10.6,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,16.2,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,10.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,16.4,2015,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,5.7,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,22.4,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Proportion of Adults living below the national poverty line,23.8,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,54,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53.6,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,54.3,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,44.4,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,63.7,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,99.2,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,61.9,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,8.7,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,74.5,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,69.5,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,65.1,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,55.8,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,37.3,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,12.8,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,72.1,2015,,SUSENAS,,All,All,All,All,All,Aceh,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,60.4,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,57.1,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53.4,2015,,SUSENAS,,All,All,All,All,All,Riau,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,55,2015,,SUSENAS,,All,All,All,All,All,Jambi,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,60.4,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,67,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,67.1,2015,,SUSENAS,,All,All,All,All,All,Lampung,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,54.1,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,40,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,37.2,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,48.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,61.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53.6,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,42.9,2015,,SUSENAS,,All,All,All,All,All,Banten,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,36.5,2015,,SUSENAS,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,65.6,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,73.9,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53.2,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,44.5,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,43.4,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,46.6,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,58.4,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,45.3,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,63.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,47,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,53,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,56.8,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,59.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,All,1,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,65.7,2015,,SUSENAS,,All,All,All,All,All,Maluku,,All,1,,,,,,,,,,,,
